subject,subj_raw,hand,date,run,ts,src_dir,fname
fgw0917,fgw-0917,right,20260504,2_v33,20260504_104318,fgw0917_0504_right,fgw-0917__20260504-right-2_v33__20260504_104318.npz
fgw0917,fgw-0917,right,20260504,2_v33,20260504_104543,fgw0917_0504_right,fgw-0917__20260504-right-2_v33__20260504_104543.npz
fgw0917,fgw-0917,right,20260504,2_v33,20260504_104801,fgw0917_0504_right,fgw-0917__20260504-right-2_v33__20260504_104801.npz
fgw0917,fgw-0917,right,20260504,2_v33,20260504_105024,fgw0917_0504_right,fgw-0917__20260504-right-2_v33__20260504_105024.npz
fgw0917,fgw-0917,right,20260504,2_v33,20260504_105243,fgw0917_0504_right,fgw-0917__20260504-right-2_v33__20260504_105243.npz
fgw0917,fgw-0917,right,20260504,2_v33,20260504_105507,fgw0917_0504_right,fgw-0917__20260504-right-2_v33__20260504_105507.npz
fgw0917,fgw-0917,right,20260504,2_v33,20260504_105729,fgw0917_0504_right,fgw-0917__20260504-right-2_v33__20260504_105729.npz
fgw0917,fgw-0917,right,20260504,2_v33,20260504_105949,fgw0917_0504_right,fgw-0917__20260504-right-2_v33__20260504_105949.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_161640,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_161640.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_161859,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_161859.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_162116,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_162116.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_162335,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_162335.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_162556,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_162556.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_162820,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_162820.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_163041,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_163041.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_163301,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_163301.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_163526,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_163526.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_163745,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_163745.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_164002,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_164002.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_164223,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_164223.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_164441,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_164441.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_164715,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_164715.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_164936,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_164936.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_165202,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_165202.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_165427,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_165427.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_165645,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_165645.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_165903,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_165903.npz
fgw0917,fgw-0917,right,20260504,2_v71,20260504_170124,fgw0917_0504_right,fgw-0917__20260504-right-2_v71__20260504_170124.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_111034,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_111034.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_111252,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_111252.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_111511,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_111511.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_111731,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_111731.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_111953,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_111953.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_112212,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_112212.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_112434,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_112434.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_112656,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_112656.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_112915,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_112915.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_113136,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_113136.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_113501,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_113501.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_113722,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_113722.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_113942,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_113942.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_114239,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_114239.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_114500,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_114500.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_114728,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_114728.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_114948,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_114948.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_115207,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_115207.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_115428,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_115428.npz
fgw0917,fgw-0917,right,20260504,3_v33,20260504_115648,fgw0917_0504_right,fgw-0917__20260504-right-3_v33__20260504_115648.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_172830,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_172830.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_173100,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_173100.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_173316,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_173316.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_173533,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_173533.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_173748,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_173748.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_174006,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_174006.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_174226,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_174226.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_174448,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_174448.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_174720,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_174720.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_174938,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_174938.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_175157,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_175157.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_175415,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_175415.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_175632,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_175632.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_175848,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_175848.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_180107,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_180107.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_180328,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_180328.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_180546,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_180546.npz
